index,id,tweets,likes,time
83,1530226872671428608,"@TheDemocrats @AliMayorkas @POTUS @PressSec @DHSgov @Yale @Cornell @WSJ @dartmouth @Harvard_Law @MSNBC @FoxNews BIDEN AND MAYORKAS ARE LIARS, CHEATS &amp; DECIEVING AMERICANS! THIS IS NOT TRANSPARENT, OPEN OR FAIR! Watch...
https://t.co/TBpKFYwepf",0,2022-05-27 16:38:11
84,1530224274589396993,@LillBj @DartArctic @dartmouth @AAU_Arctic I see @mbbvt,1,2022-05-27 16:27:51
85,1530216953536688128,"@TLRed19 @mmpadellan 20 would be perfect. 68 Democrats and 2 traitors. 

That's what you need to REMOVE rights granted by these rulings:
Citizens United
Heller
Dartmouth College vs Woodward

And make these constitutional rights:
Abortion
Birth Control
Voting Rights
Freedom FROM Religion",0,2022-05-27 15:58:46
86,1530215360011583502,@avidreadershow @stanfordpress @dartmouth Updated link!  https://t.co/so7ibRyLEK,0,2022-05-27 15:52:26
87,1530215016007454720,@LurkerBored @pelhamfall @tencor_7144 That Lebanon/Hanover/Dartmouth College area is one of the few spots Sununu lost in his 2020 landslide that flipped the state house and senate,2,2022-05-27 15:51:04
88,1530202932318289920,@afierrog @HopkinsCenter @dartmouth @ConsulmexBoston @DiplomaciacMX Suena muy interesante. ¿Hubo alguna grabación para poder escuchar esas obras de compositores mexicanos?🎶,0,2022-05-27 15:03:03
89,1530190169311268865,"Return to @parcostiantica for @dartmouth student presentations! Thanks to Tanner &amp; Chloe for showing the group the Republican-era #temples and Gerol &amp; Ashley for taking us on a tour of the #Forum baths!

#roman #architecture #Archaeology @Classics22FSP https://t.co/ODqJgeWcWJ",8,2022-05-27 14:12:20
90,1530167881979265032,@AngelaMcconney @MassBarFdn @MassBar @MAblacklawyers @dartmouth @IowaLawSchool Congratulations! We're looking forward to celebrating you on June 7 🎉,3,2022-05-27 12:43:46
91,1530167509881585664,"Join us today, Friday the 27th, in Haldeman 41 at 4:30pm to celebrate the completion of two brilliant senior honors theses @dartmouth. Katelyn Zeser will be presenting on the making of Moroccan Hip-Hop, while Clay Foye will be discussing Arabic in the digital age. https://t.co/tSAAAArMgQ",5,2022-05-27 12:42:18
92,1530165817949691906,"In the news: Angela McConney Scheepers @MassBarFdn
@MassBar @MAblacklawyers
@dartmouth @AngelaMcconney
@IowaLawSchool https://t.co/llhgUjfh4a",1,2022-05-27 12:35:34
93,1530154920766279682,@Entelect Dartmouth college #entelectdevday,1,2022-05-27 11:52:16
